Job Title,Company,country,Experience Level,Salary,Industry,Required Skills,education_requirement_level
"Surveyor, building",Hamilton Group,London,Entry Level,109000,Finance,"Financial Modeling, Python, SQL, Excel",2
Probation officer,Harris-Mayo,New York,Entry Level,114000,Finance,"Risk Analysis, Excel",1
Lawyer,Rosales and Sons,London,Senior Level,71000,Finance,"Risk Analysis, Excel",1
Chiropractor,Brewer-Giles,Bangalore,Senior Level,121000,Software,"Machine Learning, Python, SQL",3
Site engineer,"Townsend, Lee and Montgomery",Berlin,Entry Level,71000,Manufacturing,Production Planning,3
Outdoor activities/education manager,"Hurley, Paul and Jensen",Berlin,Mid Level,147000,Healthcare,Pharmaceuticals,5
Nature conservation officer,Bennett LLC,San Francisco,Mid Level,62000,Manufacturing,"Supply Chain, Production Planning",5
Audiological scientist,Frye-Hanson,London,Senior Level,105000,Retail,Merchandising,1
"Investment banker, operational",Bartlett Inc,Bangalore,Senior Level,52000,Marketing,"SEO, Content Writing",3
Midwife,Sharp-Stephenson,New York,Entry Level,110000,Software,Python,2
Exhibition designer,Taylor PLC,Toronto,Entry Level,129000,Retail,"Merchandising, Customer Service, Sales",5
"Physicist, medical",Bender Group,Bangalore,Mid Level,60000,Education,"Research, EdTech",1
"Editor, film/video","Johnson, Carson and Sullivan",Berlin,Entry Level,93000,Education,"EdTech, Research",4
Fine artist,Duncan-Salinas,Berlin,Entry Level,124000,Finance,"Excel, SQL, Python, Risk Analysis",2
Chemical engineer,Wilson LLC,Sydney,Senior Level,130000,Marketing,"Market Research, Content Writing, SEO, Google Ads",3
Equities trader,Morgan-Green,New York,Senior Level,53000,Finance,"SQL, Python, Risk Analysis",4
"Conservator, furniture",Mclean Group,Toronto,Mid Level,96000,Healthcare,"Pharmaceuticals, Medical Research, Patient Care",2
"Civil engineer, consulting",Peterson Ltd,London,Senior Level,44000,Education,"Teaching, EdTech, Research",2
"Radiographer, therapeutic",Williams-Oneal,Toronto,Senior Level,63000,Manufacturing,"Supply Chain, Quality Control, Production Planning",3
Dietitian,"Mahoney, Ford and Beck",New York,Senior Level,145000,Retail,"Customer Service, Merchandising",1
,Mack-Brewer,Berlin,Entry Level,76000,Marketing,"SEO, Content Writing",2
Artist,"Short, Griffith and Faulkner",New York,Entry Level,46000,Healthcare,"Patient Care, Medical Research",3
"Engineer, land",Rodriguez-Taylor,Bangalore,Mid Level,85000,Marketing,"Content Writing, SEO",2
"Teacher, special educational needs",Barnett-Molina,Bangalore,Mid Level,56000,Manufacturing,"Quality Control, Supply Chain, Production Planning",3
Health promotion specialist,Krause-Arnold,Bangalore,Entry Level,41000,Healthcare,"Pharmaceuticals, Nursing",2
Police officer,"Phillips, Hernandez and Thomas",Berlin,Senior Level,85000,Retail,"Merchandising, Customer Service, Sales",3
Curator,Franklin and Sons,San Francisco,Senior Level,52000,Manufacturing,"Quality Control, Production Planning, Supply Chain",1
"Librarian, public","Thomas, Kelley and Bowers",San Francisco,Entry Level,82000,Software,Python,4
Occupational hygienist,Anthony-Taylor,Berlin,Mid Level,85000,Finance,"Financial Modeling, Python",5
Chief Financial Officer,"Potter, Ray and Goodman",Sydney,Senior Level,82000,Marketing,Google Ads,5
Contracting civil engineer,Livingston PLC,London,Senior Level,65000,Retail,"Customer Service, Merchandising",2
Building surveyor,Cochran-Knapp,London,Mid Level,131000,Finance,"SQL, Financial Modeling, Risk Analysis, Python",1
Clinical research associate,Moyer PLC,Sydney,Entry Level,48000,Software,C++,1
"Investment banker, corporate",Wood Group,London,Senior Level,60000,Software,"C++, Machine Learning, React, Java",5
"Engineer, manufacturing systems",Gray-Mckee,New York,Mid Level,147000,Retail,Sales,2
Product/process development scientist,"Yu, Williams and Shannon",Bangalore,Mid Level,88000,Software,Machine Learning,2
"Psychologist, clinical",Lopez-Fritz,San Francisco,Senior Level,69000,Marketing,"Social Media, Content Writing, Market Research",2
Building control surveyor,Curtis Inc,New York,Senior Level,101000,Education,Teaching,5
Prison officer,King-Harris,London,Senior Level,127000,Software,"C++, AWS",1
"Designer, blown glass/stained glass","Serrano, Bush and Adams",Berlin,Senior Level,90000,Software,"React, C++",1
Publishing rights manager,Kramer PLC,Sydney,Entry Level,117000,Education,"Teaching, Curriculum Design, Research",1
Firefighter,Taylor-Williamson,New York,Senior Level,134000,Healthcare,"Medical Research, Patient Care, Pharmaceuticals, Nursing",4
Claims inspector/assessor,Gallagher Group,Bangalore,Senior Level,131000,Retail,"Sales, Merchandising, Customer Service",2
"Engineer, petroleum","Johnson, Gonzalez and Holloway",Berlin,Entry Level,104000,Manufacturing,Quality Control,1
"Psychologist, sport and exercise",Mitchell-Butler,San Francisco,Entry Level,40000,Manufacturing,"Production Planning, Supply Chain, Quality Control",1
Editorial assistant,"Hutchinson, Robinson and Haynes",San Francisco,Entry Level,113000,Healthcare,"Patient Care, Nursing, Pharmaceuticals",1
Dancer,Sellers-Jones,Bangalore,Mid Level,142000,Healthcare,"Patient Care, Medical Research",3
Site engineer,Velazquez PLC,San Francisco,Mid Level,142000,Marketing,"Market Research, Social Media, Content Writing",4
Musician,"Turner, Dawson and Ellis",Sydney,Senior Level,57000,Retail,Merchandising,4
Herbalist,Nguyen-Jones,Berlin,Mid Level,127000,Marketing,"Social Media, Google Ads",1
"Doctor, hospital",Rowe and Sons,Sydney,Senior Level,80000,Healthcare,"Nursing, Patient Care, Pharmaceuticals, Medical Research",5
Electrical engineer,Mason Group,Sydney,Entry Level,126000,Manufacturing,"Quality Control, Supply Chain",5
Fine artist,Sanchez-Lane,San Francisco,Entry Level,146000,Retail,"Customer Service, Sales, Merchandising",2
Occupational therapist,"Hampton, Turner and Nunez",Toronto,Senior Level,120000,Retail,"Merchandising, Sales, Customer Service",1
Secondary school teacher,Harris-Washington,London,Senior Level,139000,Retail,Customer Service,3
Mining engineer,Anderson Inc,Toronto,Mid Level,84000,Manufacturing,"Production Planning, Quality Control",1
"Designer, furniture",Johnson-Patel,New York,Senior Level,102000,Finance,"SQL, Excel",2
Risk manager,Clark-Gates,London,Senior Level,131000,Retail,"Merchandising, Sales, Customer Service",5
Clinical cytogeneticist,"Obrien, Collins and Mendoza",Toronto,Entry Level,106000,Education,"Curriculum Design, Teaching, EdTech",3
Control and instrumentation engineer,Leon-Gomez,Sydney,Senior Level,143000,Finance,"Financial Modeling, Python, SQL, Risk Analysis",4
Medical technical officer,"Burke, Williams and Adams",London,Senior Level,146000,Marketing,"SEO, Social Media, Market Research, Google Ads",4
Chief Marketing Officer,Valenzuela and Sons,Sydney,Mid Level,137000,Manufacturing,"Production Planning, Quality Control, Supply Chain",1
Animal technologist,Lopez and Sons,Bangalore,Senior Level,142000,Manufacturing,Production Planning,4
Seismic interpreter,Foster Ltd,Toronto,Senior Level,118000,Retail,Sales,4
"Designer, ceramics/pottery",Cortez PLC,Berlin,Mid Level,126000,Healthcare,"Pharmaceuticals, Medical Research, Nursing",4
Wellsite geologist,Hansen-Bowers,New York,Entry Level,92000,Finance,"Excel, Financial Modeling",1
"Therapist, speech and language",Phillips Inc,San Francisco,Mid Level,56000,Education,"EdTech, Research, Curriculum Design",5
Diagnostic radiographer,Reilly-Diaz,London,Entry Level,47000,Software,"React, AWS",5
"Conservator, furniture",Horton Group,Bangalore,Senior Level,66000,Education,"Curriculum Design, Research",2
Special effects artist,"Barnes, Gonzales and Watkins",Berlin,Mid Level,136000,Marketing,"Market Research, Google Ads",5
Building surveyor,Lopez LLC,New York,Mid Level,57000,Software,"Machine Learning, React, AWS",2
Counsellor,Fuller LLC,New York,Entry Level,89000,Manufacturing,Quality Control,2
Clinical biochemist,Anderson-Davis,Bangalore,Senior Level,117000,Software,"SQL, Java",3
Passenger transport manager,"Cardenas, Hardin and Valenzuela",Berlin,Mid Level,50000,Education,"Research, Teaching, Curriculum Design, EdTech",5
Financial risk analyst,Watson LLC,San Francisco,Entry Level,62000,Education,"EdTech, Research, Teaching",4
Aid worker,Hayden-Adams,Sydney,Mid Level,44000,Manufacturing,"Production Planning, Quality Control, Supply Chain",4
"Engineer, automotive",Powell Inc,New York,Entry Level,114000,Finance,"SQL, Excel, Risk Analysis, Financial Modeling",1
Energy manager,Irwin-Cooper,Toronto,Senior Level,89000,Marketing,"Google Ads, Social Media, Market Research, SEO",5
Hospital doctor,Dodson PLC,Sydney,Mid Level,111000,Education,"Teaching, Curriculum Design",5
Corporate investment banker,Long Inc,London,Entry Level,114000,Software,"React, Machine Learning",2
"Development worker, community","Aguilar, Walton and Singh",Berlin,Entry Level,102000,Software,"Python, React, SQL",1
Medical illustrator,Jones-Vega,San Francisco,Entry Level,143000,Software,Python,5
Senior tax professional/tax inspector,Hamilton Inc,Berlin,Senior Level,139000,Manufacturing,"Supply Chain, Production Planning, Quality Control",4
Economist,"Robles, Wagner and Nixon",San Francisco,Senior Level,93000,Healthcare,"Nursing, Patient Care, Pharmaceuticals, Medical Research",3
Cabin crew,"Macias, Smith and Ferrell",Bangalore,Senior Level,88000,Finance,"SQL, Risk Analysis",3
International aid/development worker,"Bernard, Mendez and Simpson",Bangalore,Entry Level,97000,Marketing,"Social Media, SEO",2
"Producer, television/film/video","Shah, Hernandez and Carter",San Francisco,Mid Level,45000,Software,"AWS, Python, SQL, Machine Learning",2
Broadcast journalist,Rodgers-Campbell,London,Mid Level,92000,Finance,Excel,4
Risk analyst,Franklin-Hendrix,Berlin,Mid Level,55000,Education,"Research, Curriculum Design, EdTech, Teaching",4
Architect,Shaffer-David,Sydney,Senior Level,128000,Education,"EdTech, Teaching, Research",5
Retail banker,Harris-Rhodes,London,Entry Level,108000,Manufacturing,"Supply Chain, Production Planning, Quality Control",5
Herpetologist,Scott LLC,Toronto,Mid Level,111000,Manufacturing,"Supply Chain, Production Planning, Quality Control",2
Health visitor,Mcneil LLC,Bangalore,Senior Level,115000,Healthcare,"Nursing, Patient Care, Medical Research, Pharmaceuticals",4
Museum/gallery conservator,"Dawson, Snyder and Davis",Sydney,Senior Level,68000,Software,"AWS, Machine Learning, C++",4
"Horticulturist, amenity","Morris, Cruz and Friedman",Berlin,Entry Level,47000,Marketing,"Social Media, Market Research",3
"Scientist, biomedical",Elliott-Farmer,London,Mid Level,50000,Finance,Python,4
"Administrator, education",Johnson-Mcclure,Toronto,Mid Level,43000,Education,"Teaching, EdTech, Curriculum Design",3
Trading standards officer,Roberson-Marshall,Berlin,Mid Level,79000,Retail,"Customer Service, Sales, Merchandising",5
"Chemist, analytical",Holden Group,Sydney,Entry Level,131000,Software,"Machine Learning, Python, C++",2
Scientific laboratory technician,Harris-Golden,New York,Mid Level,98000,Finance,"Risk Analysis, Financial Modeling",3
Product/process development scientist,Rodriguez LLC,San Francisco,Mid Level,108000,Education,"Curriculum Design, Research, EdTech, Teaching",5
Site engineer,"Li, Schroeder and Schmitt",Toronto,Senior Level,78000,Education,Curriculum Design,1
Plant breeder/geneticist,Williams-White,Toronto,Mid Level,134000,Manufacturing,"Production Planning, Quality Control, Supply Chain",1
Therapeutic radiographer,Alexander-Murphy,Bangalore,Entry Level,78000,Marketing,Content Writing,3
Planning and development surveyor,Atkinson LLC,Sydney,Senior Level,96000,Education,"Teaching, Curriculum Design, EdTech, Research",5
Chief Technology Officer,Obrien PLC,New York,Mid Level,142000,Software,"React, Python",5
Race relations officer,"Larson, Pearson and Pearson",Sydney,Senior Level,116000,Marketing,"Market Research, SEO, Social Media, Content Writing",2
Claims inspector/assessor,"Briggs, Kerr and Rodriguez",Sydney,Senior Level,50000,Education,EdTech,4
Town planner,"Mullins, Mckee and Perry",London,Senior Level,138000,Manufacturing,"Quality Control, Production Planning",1
Transport planner,"Fuller, Williams and Smith",Bangalore,Mid Level,58000,Retail,"Sales, Merchandising, Customer Service",2
Environmental manager,"Guerrero, Johnson and Hunt",London,Entry Level,92000,Software,"React, Machine Learning",4
Control and instrumentation engineer,Mueller-Lopez,Toronto,Senior Level,69000,Retail,Customer Service,5
Research scientist (medical),Rich-Wilkinson,San Francisco,Senior Level,147000,Manufacturing,"Production Planning, Supply Chain, Quality Control",3
"Psychologist, occupational","Williams, Kelley and Arroyo",Bangalore,Senior Level,120000,Manufacturing,"Supply Chain, Quality Control, Production Planning",5
Futures trader,"Gardner, Thornton and Gutierrez",New York,Senior Level,113000,Education,"Teaching, EdTech",2
"Scientist, research (life sciences)",Woodard Group,New York,Mid Level,83000,Healthcare,"Medical Research, Pharmaceuticals, Nursing, Patient Care",1
Interpreter,Ward-Coffey,Berlin,Senior Level,100000,Software,"Python, SQL",5
Art gallery manager,Bryant-Adkins,Berlin,Entry Level,140000,Marketing,"Content Writing, SEO, Social Media",3
Volunteer coordinator,Smith-Martinez,Sydney,Senior Level,42000,Software,"AWS, React, C++, Python",1
Furniture designer,Tucker Inc,Sydney,Senior Level,51000,Marketing,Google Ads,5
Textile designer,Wright-Murphy,Sydney,Mid Level,93000,Healthcare,"Medical Research, Pharmaceuticals, Nursing",2
Naval architect,"Clark, Frost and Logan",Sydney,Senior Level,79000,Retail,"Customer Service, Merchandising",2
"Designer, multimedia","Hansen, Cooper and Ellis",San Francisco,Mid Level,86000,Education,"Research, Curriculum Design",1
"Surveyor, insurance",Jones PLC,Bangalore,Senior Level,50000,Software,"Python, Machine Learning",5
Astronomer,Franklin-Cowan,New York,Senior Level,140000,Marketing,Social Media,3
Retail merchandiser,Smith-Mcdonald,Berlin,Senior Level,133000,Manufacturing,"Supply Chain, Quality Control, Production Planning",5
Investment analyst,"Powell, Donaldson and Perez",London,Mid Level,87000,Finance,"Risk Analysis, Financial Modeling, Python, SQL",3
Artist,Gray LLC,San Francisco,Mid Level,70000,Marketing,"Google Ads, SEO, Market Research",3
Financial manager,"Young, Anderson and Ward",London,Entry Level,76000,Software,React,1
Financial risk analyst,Hill-Lynn,Sydney,Entry Level,150000,Finance,Excel,2
Risk manager,Murphy-Reynolds,Bangalore,Mid Level,55000,Finance,Python,4
"Journalist, magazine","Lee, Duarte and Hernandez",San Francisco,Senior Level,110000,Software,"React, Machine Learning",3
Ecologist,"Marshall, Berry and Martin",London,Senior Level,104000,Healthcare,"Patient Care, Pharmaceuticals, Nursing",2
Optometrist,"Gregory, Ramirez and Gonzalez",London,Entry Level,129000,Software,"C++, SQL",4
Training and development officer,Anthony Group,Bangalore,Entry Level,71000,Software,"SQL, AWS",3
Housing manager/officer,Thompson-Duncan,Sydney,Entry Level,55000,Software,C++,1
Charity officer,Tucker Inc,Bangalore,Entry Level,55000,Finance,"Excel, Financial Modeling, Python",1
Set designer,Wagner-Hicks,Berlin,Mid Level,94000,Software,"SQL, C++",3
"Production assistant, television",Mcbride-Fleming,London,Entry Level,120000,Manufacturing,"Quality Control, Production Planning, Supply Chain",4
Armed forces training and education officer,"Taylor, Garner and Jordan",Toronto,Mid Level,130000,Finance,"Python, Excel, Financial Modeling, SQL",2
Lexicographer,Price Ltd,London,Mid Level,128000,Marketing,SEO,4
Broadcast presenter,Fisher-Jimenez,Sydney,Entry Level,101000,Marketing,"Social Media, Market Research, Content Writing",3
"Teacher, adult education",Mathews Ltd,London,Senior Level,144000,Marketing,Market Research,1
Curator,Wilson-Hart,San Francisco,Senior Level,42000,Education,"Research, EdTech, Teaching",1
Visual merchandiser,Stone-George,Sydney,Mid Level,69000,Finance,"SQL, Risk Analysis, Python",4
Special educational needs teacher,James Inc,Sydney,Mid Level,106000,Marketing,"Social Media, Market Research, Content Writing, Google Ads",2
Corporate treasurer,"Villegas, Nunez and Gray",London,Entry Level,93000,Retail,Merchandising,2
"Research officer, trade union",Johnson and Sons,Toronto,Senior Level,55000,Retail,Customer Service,5
Ceramics designer,Farmer Inc,Bangalore,Entry Level,129000,Finance,"Excel, Financial Modeling, Risk Analysis, SQL",1
"Engineer, automotive",Kelly-Willis,Bangalore,Entry Level,81000,Education,"Curriculum Design, EdTech, Teaching, Research",2
Barrister,"Nelson, Thomas and Newman",Sydney,Mid Level,109000,Software,AWS,1
"Teacher, early years/pre","Evans, Wilson and Williams",Sydney,Mid Level,133000,Software,"Java, Machine Learning, C++",3
Television/film/video producer,"Hunt, Martin and Morris",San Francisco,Mid Level,58000,Software,"AWS, Python, SQL",5
Office manager,"Jones, Bennett and Mills",Sydney,Entry Level,107000,Marketing,"SEO, Google Ads",1
Investment analyst,"Lewis, Wright and Hernandez",New York,Mid Level,63000,Manufacturing,"Supply Chain, Production Planning, Quality Control",4
"Investment banker, corporate","Bender, Taylor and Hunter",New York,Mid Level,99000,Healthcare,"Medical Research, Patient Care, Pharmaceuticals, Nursing",3
Exhibition designer,Nelson-Jimenez,Sydney,Mid Level,70000,Software,"Python, React",3
Electrical engineer,Massey and Sons,San Francisco,Senior Level,43000,Finance,"Financial Modeling, SQL, Risk Analysis",5
"Surveyor, insurance","Williams, Scott and Boyle",San Francisco,Entry Level,58000,Marketing,Content Writing,2
Insurance account manager,Ford-Clark,Sydney,Mid Level,59000,Retail,"Customer Service, Sales",5
Facilities manager,"Weber, Anderson and Sharp",Berlin,Senior Level,148000,Finance,"Python, Risk Analysis",5
Meteorologist,Wright-Miller,Toronto,Senior Level,67000,Education,"Curriculum Design, EdTech",4
"Designer, textile","Gomez, Kennedy and Sims",Berlin,Senior Level,65000,Finance,"Excel, Python, SQL",5
Animal technologist,Copeland and Sons,New York,Entry Level,140000,Healthcare,"Medical Research, Nursing, Pharmaceuticals, Patient Care",5
Graphic designer,Barnes-Jackson,London,Senior Level,105000,Healthcare,Pharmaceuticals,5
Secondary school teacher,"Green, Kemp and Le",Sydney,Mid Level,116000,Marketing,"Social Media, Content Writing, SEO",5
Community arts worker,Watson-Harris,Sydney,Mid Level,62000,Manufacturing,"Supply Chain, Quality Control, Production Planning",1
Site engineer,Thomas-Matthews,New York,Mid Level,121000,Software,C++,3
Health and safety adviser,Smith-Clark,London,Senior Level,42000,Healthcare,"Medical Research, Patient Care, Nursing, Pharmaceuticals",2
Chartered public finance accountant,Williams Group,Sydney,Entry Level,79000,Software,"AWS, React, Java, Python",4
Prison officer,York-Valentine,New York,Senior Level,95000,Manufacturing,"Quality Control, Production Planning, Supply Chain",5
Petroleum engineer,Rogers PLC,New York,Entry Level,41000,Healthcare,"Nursing, Medical Research",2
Chief Operating Officer,Moody Group,Toronto,Entry Level,41000,Software,Java,1
Clinical research associate,Peterson-Valdez,New York,Senior Level,131000,Manufacturing,"Quality Control, Supply Chain, Production Planning",5
IT trainer,Lucas-Farley,Bangalore,Mid Level,49000,Manufacturing,"Supply Chain, Quality Control",4
Claims inspector/assessor,Smith Ltd,San Francisco,Entry Level,100000,Retail,"Sales, Merchandising",4
"Scientist, physiological",Russo Ltd,Berlin,Senior Level,86000,Retail,"Sales, Merchandising",3
"Designer, blown glass/stained glass",Gibson and Sons,London,Entry Level,75000,Retail,"Sales, Customer Service",3
Television production assistant,"Peterson, Lynch and Blevins",San Francisco,Entry Level,100000,Healthcare,Nursing,3
Haematologist,"Bird, Ward and Guerra",London,Senior Level,60000,Retail,"Merchandising, Customer Service",2
Retail buyer,"Lewis, Wilson and Gonzalez",Bangalore,Senior Level,133000,Manufacturing,"Quality Control, Production Planning",2
"Surveyor, insurance",Daniels-Brown,London,Mid Level,147000,Manufacturing,"Production Planning, Quality Control, Supply Chain",5
Equities trader,"Douglas, Le and Williams",Berlin,Mid Level,66000,Healthcare,"Pharmaceuticals, Medical Research",3
Haematologist,"Daugherty, Thompson and Moore",San Francisco,Senior Level,82000,Finance,"SQL, Risk Analysis",3
"Surveyor, insurance",Fleming Group,San Francisco,Senior Level,56000,Finance,"SQL, Python, Risk Analysis, Financial Modeling",4
Publishing copy,Thornton Ltd,Sydney,Entry Level,57000,Education,"Teaching, Research",4
Patent examiner,Walker-Davis,Berlin,Mid Level,42000,Education,EdTech,5
Microbiologist,Young Ltd,Bangalore,Senior Level,44000,Manufacturing,"Production Planning, Supply Chain, Quality Control",5
"Therapist, music",Pace Group,London,Entry Level,143000,Manufacturing,Production Planning,4
Clinical embryologist,Beck-Byrd,San Francisco,Entry Level,117000,Manufacturing,"Supply Chain, Production Planning",5
Data scientist,Wells-Rogers,London,Mid Level,135000,Software,"Machine Learning, Java",1
Museum/gallery exhibitions officer,George Group,San Francisco,Entry Level,143000,Education,"Curriculum Design, Teaching",5
Occupational psychologist,Morris LLC,New York,Mid Level,98000,Finance,"Financial Modeling, Risk Analysis, Excel",2
Dramatherapist,"Johnson, Riggs and Schultz",Toronto,Entry Level,42000,Manufacturing,Supply Chain,4
Press sub,Jones-Ferguson,Bangalore,Entry Level,67000,Manufacturing,"Production Planning, Quality Control, Supply Chain",2
Archaeologist,Long and Sons,Berlin,Mid Level,140000,Software,"Python, AWS, Machine Learning, C++",5
"Exhibitions officer, museum/gallery",Wood Group,San Francisco,Senior Level,44000,Retail,"Customer Service, Merchandising, Sales",4
Database administrator,"Bradford, Mitchell and Rasmussen",Sydney,Entry Level,56000,Finance,Python,5
Horticultural therapist,Morales PLC,Toronto,Entry Level,64000,Marketing,"SEO, Market Research, Social Media",1
"Producer, television/film/video","Mccoy, Stevens and Wright",Toronto,Senior Level,66000,Education,Research,4
Field trials officer,"Bean, Carpenter and Austin",Toronto,Senior Level,98000,Finance,"SQL, Excel, Risk Analysis, Financial Modeling",1
"Teacher, secondary school","Green, Mendoza and Rosales",Berlin,Mid Level,116000,Software,"Python, C++",5
"Scientist, clinical (histocompatibility and immunogenetics)",Andrews LLC,London,Mid Level,74000,Marketing,"Market Research, Google Ads",4
"Conservation officer, historic buildings",Howard-Ward,London,Senior Level,45000,Healthcare,Pharmaceuticals,5
"Surveyor, minerals",Bell-Williams,Berlin,Senior Level,54000,Marketing,"SEO, Market Research",5
Passenger transport manager,"Barker, Huffman and Nguyen",New York,Mid Level,78000,Finance,"SQL, Financial Modeling, Risk Analysis",3
Museum/gallery exhibitions officer,Proctor and Sons,Bangalore,Mid Level,42000,Finance,"Risk Analysis, SQL, Financial Modeling, Excel",2
Lexicographer,George Ltd,Toronto,Entry Level,118000,Education,Research,5
Associate Professor,Young-White,Bangalore,Mid Level,47000,Software,"Machine Learning, Java, SQL",1
Interpreter,Yang Group,Berlin,Mid Level,61000,Education,"Curriculum Design, EdTech, Research, Teaching",1
"Teacher, adult education","Grant, Mccullough and Russell",Bangalore,Entry Level,117000,Education,"Research, Curriculum Design, EdTech",1
Planning and development surveyor,"Taylor, Lynn and Flores",Bangalore,Entry Level,101000,Finance,"SQL, Financial Modeling, Excel, Python",5
Equality and diversity officer,Jones-Warren,New York,Mid Level,50000,Marketing,"Social Media, Content Writing, Market Research",5
Nature conservation officer,"Thompson, Walls and Hicks",San Francisco,Mid Level,141000,Retail,"Sales, Customer Service",4
"Administrator, charities/voluntary organisations","Snyder, Nolan and Stanley",Toronto,Senior Level,146000,Software,Java,5
"Engineer, structural",Cole-Perez,Sydney,Senior Level,123000,Healthcare,"Medical Research, Pharmaceuticals",5
Housing manager/officer,Robinson-Ibarra,New York,Entry Level,108000,Manufacturing,"Supply Chain, Quality Control, Production Planning",1
Radio broadcast assistant,Robinson-Brown,New York,Senior Level,138000,Finance,Excel,1
Ecologist,Edwards-Williams,Berlin,Mid Level,145000,Education,Teaching,4
Camera operator,Dennis LLC,London,Entry Level,145000,Education,Research,1
